,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
101,BreakiNews,"Stupidity will be blocked w/o notice. No discrimination based on caste, creed, sex & colour tolerated. Creative abuses OK.",Bhaktistan,1440,4782,839976,1,@JharkhandJanad1 @Ram_Guha @CMOMaharashtra @ShashiTharoor @satejp @Jairam_Ramesh @OfficeofUT @tajmahalfoxtrot @ChitrangadaC @sharmasupriya @nandinisundar @MaryLawlorhrds @AnilDeshmukhNCP Request @CMOMaharashtra to help the father. This is inhumane. Please help.,[]
102,BreakiNews,"Stupidity will be blocked w/o notice. No discrimination based on caste, creed, sex & colour tolerated. Creative abuses OK.",Bhaktistan,1440,4782,839976,1,"@JharkhandJanad1 @Ram_Guha @CMOMaharashtra @ShashiTharoor @satejp @Jairam_Ramesh @OfficeofUT @tajmahalfoxtrot @ChitrangadaC @sharmasupriya @nandinisundar @MaryLawlorhrds @AnilDeshmukhNCP The Christian community &amp; supporters will never forgive this regime if anything befalls Father Stan swamy

Remember, he’s inside for no crime but allegedly for vested interest. He’s an aged, sickly priest who can’t hurt a fly 

He’s not been provide treatment for meted justice",[]
103,kaarthikakumar1,Dental surgeon,,1,3,761,15,"How much do we have to wait for our admissions?? Don’t waste our whole year ! Delink NEET MDS ! Start counselling!
#NEETMDSCOUNSELLING #NEETPG2021 @SonuSood @narendramodi @AmitV_Deshmukh @MamataOfficial @OfficeofUT @TOIIndiaNews @ANI @MoHFW_INDIA @drharshvardhan @MoHFW_INDIA https://t.co/zYy8rGITkE",[]
104,QuaziTousif,"When you start to EXCEL, people start to SPREADSHEET",,25,0,18,1,"Conducting exams for these 19 subjects is equally dangerous as it is for all the subjects.

@ArvindKejriwal @ChouhanShivraj @OfficeofUT @ashokgehlot51 @MamataOfficial @DrRPNishank @cbseindia29 
 
#COVID19 #cbseboardexam2021 #cancelboardexams #lockdown #coronavirus #BlackFungus",[]
105,DivineDrinks,"Diviné JOY  
Good Health:Happy Life",IN YOUR ❤,1008,92,2679,0,@KMMIRROR @MMRDAOfficial @AUThackeray @OfficeofUT Indeed a Good News.,[]
106,arjrkjam,,,82,12,1286,0,@OfficeofUT @MDwcd pls take stepes to remove bjp from UP,[]
107,Vicky81729128,Retweets and Likes are not endorsement,,43,143,6591,116,"The @OfficeofUT FB Live was worse than Radhe. Clueless, confused, creditchor.

Yaar yeh LCM hain.. LazyCM.",[]
108,visheshrane,Calm - ProudHindustani,Mumbai,169,147,644,0,"The Fact : 
Speech of Hon. @CMOMaharashtra @OfficeofUT is much much better than Man ki baat.
#UddhavThackeray",['UddhavThackeray']
109,eouconsulting,Firm specializes in the area of regulatory compliances pertaining to Central & State Government schemes (SEZ/IT Park/EOU/STP).,Pune,312,282,2151,0,@RiteshOswal @CMOMaharashtra @OfficeofUT Hats off to all covid warriors,[]
110,pratham18111999,"Student,Youtuber,#Bitcoin #BNB
https://t.co/7Y1yU4d9fT",pune,328,25,571,0,"@OfficeofUT  @meudaysamant @Dev_Fadnavis 

The college is asking you to pay 100% fee. If not filled then exam cannot be given or exam form should not be filled.",[]
111,Geeta_Motwani_,"I do not claim to have connection with any authority. Don't consider my memes as news.
⚠ RAISING VOICE FOR #VaccineBeforeCAexams INITIATIVE 💉","Shimla, India",0,758,192,0,"@CMOMaharashtra Mass Gatherings in form of CA Exams to be conducted by ""ICAI"" from 5th July should be avoided till students(18+)get vaccinated

Such superspreaders could result in Mela-like events in state of Maharashtra
Be cautious @mybmc @OfficeofUT @AUThackeray @CAChirag
#VaccineBeforeCAexams",['VaccineBeforeCAexams']
112,Ketan72386451,शिवसैनिक 🚩,"मुंबई, भारत",2432,415,9853,4,"#Kandivali #MumbaiMetro Akurli station illuminated for tomorrow's trial run...#Westernhighway
Just imagine what will be  the scene during the actual run..
Trial Run. #Mumbai❤❤ thankyou @CMOMaharashtra @OfficeofUT @AUThackeray https://t.co/IbqtcYbRiT","['Kandivali', 'MumbaiMetro', 'Westernhighway']"
113,RetweetsMumbai,"RT from in & around Mumbai & are not endorsements, Use #Mumbai #Bombay for RTs
RTs are automated we take no responsibility of the RT's
DM for more info",Mumbai,7,1930,145647,4,"#Kandivali #MumbaiMetro Akurli station illuminated for tomorrow's trial run...#Westernhighway
Just imagine what will be  the scene during the actual run..
Trial Run. #Mumbai❤❤ thankyou @CMOMaharashtra @OfficeofUT @AUThackeray https://t.co/IbqtcYbRiT","['Kandivali', 'MumbaiMetro', 'Westernhighway']"
114,shakti50838090,"just...fighting for justice..SSRIAN
..",,256,260,24069,79,"Now @OfficeofUT wants advice from @narendramodi ji for 12th Std exam.

Deva re deva...🤣",[]
115,RupeshKadam03,Yuva Sena Core Committee Member,Mumbai,134,1186,1089,4,"#Kandivali #MumbaiMetro Akurli station illuminated for tomorrow's trial run...#Westernhighway
Just imagine what will be  the scene during the actual run..
Trial Run. #Mumbai❤❤ thankyou @CMOMaharashtra @OfficeofUT @AUThackeray https://t.co/IbqtcYbRiT","['Kandivali', 'MumbaiMetro', 'Westernhighway']"
116,VilasAdivarekar,गर्वच नाही तर माज आहे शिवसैनिक असल्याचा..!!💪🚩,"Mumbai, India",246,1721,11097,4,"#Kandivali #MumbaiMetro Akurli station illuminated for tomorrow's trial run...#Westernhighway
Just imagine what will be  the scene during the actual run..
Trial Run. #Mumbai❤❤ thankyou @CMOMaharashtra @OfficeofUT @AUThackeray https://t.co/IbqtcYbRiT","['Kandivali', 'MumbaiMetro', 'Westernhighway', 'Mumbai']"
117,Kapilkaushik,Jai Ho!,India,142,25,1970,0,@TarunBh21549786 @Sunil_Deodhar @RiseIndia8 @BJP4Maharashtra @BJYM4MH @OfficeofUT @PawarSpeaks @RahulGandhi @BJYM @India_NHRC That job is left for only yogi. Rest all are sizers,[]
118,maheshaslekar,"Leadership is about inspiring to do things they never thought they could do , and end up doing it.",India,2357,630,7676,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
119,tarunpal84,kadak wala Sanghi.... cricket lover....Modi fan boy.....Desh ka jagruk NAV jawan....itna kaafi he Abhi ke liye.......,,587,149,133768,1,"@ShivamVahia @OfficeofUT we need to do something like honk Kong
https://t.co/BYst8eD0QL
build entire city around metro
can it be done @Dev_Fadnavis?",[]
120,mehta24772485,"ये जिंदगी आत्मा से आत्मा के मिलने -बिछुडने खोने- पाने, दोस्ती दुश्मनी लेन-देन का चक्र है। पता नहीं कुछ रह गए। गलती से किसी का बुरा ना हो। अब ज्यादा की इच्छा नही","New Delhi, India",661,736,39960,79,"Now @OfficeofUT wants advice from @narendramodi ji for 12th Std exam.

Deva re deva...🤣",[]
121,bhushanwrites,,"Pune, India",161,43,2096,0,@MSEDCL @CMDMSEDCL @OfficeofUT @AjitPawarSpeaks This continues today as well. 3rd power disconnection since morning,[]
122,tarunpal84,kadak wala Sanghi.... cricket lover....Modi fan boy.....Desh ka jagruk NAV jawan....itna kaafi he Abhi ke liye.......,,587,149,133768,5,"The Mumbai Metro will start soon. I can already see a massive propaganda machinery being unveiled by @OfficeofUT to take credit for it.

He's done nothing. Absolutely nothing. Yet, will take credit for each and everything. The truth has to reach the masses.",[]
123,MSEDCL,महाराष्ट्र राज्य विद्युत वितरण कंपनी मर्यादित,,71,40420,62578,0,"@KunalMehta1985 @DharakUdesh @vishalkarthik25 @AherSatish @madhuripandya @sachin_samant @WeArePanvel @CMDMSEDCL @CMOMaharashtra @OfficeofUT @NitinRaut_INC @ithakurprashant @SmartPanvel @PMOIndia @jagograhakjago @Dev_Fadnavis @sudhirchaudhary @indiatvnews @narendramodi @sdo0329 Dear Consumer, we can understand your concern. You can check planned outage by clicking link:
https://t.co/knCtTLvoN0",[]
124,SatishConnect,Digital Marketing Expert,India,25,8,53,0,"Shops &amp; offices closed. Waive Road Tax, House Tax , Electricity Bills and all Taxes from Central, State  governments &amp; Muncipal taxes for last 3 months? Think of common man.. @narendramodi @OfficeofUT @PMOIndia @nitin_gadkari #COVID19Vic @NashikNews_ @InfoNashik #NoGST #NOTAX","['COVID19Vic', 'NoGST', 'NOTAX']"
125,shraddhavs,"Ophthalmologist, Poet, Author & tennis mom. Procrastinator of the Year! Coffee is my salvation & sleeplessness makes me grumpy - is that ironic?","Pune, India",23622,23735,57030,0,"@kothekar_p @OfficeofUT I think he speaks a lot of sense. There's a feeling of understanding the reasoning behind the actions. Yes, longwinded but still...",[]
126,ChachlaniRohit,,,33,21,114,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
127,DeepikaGym,BSC-MBA || Blogger || Fitness Guide ||,India || Hindustan,36,14,1295,2,crowd and people everywhere in mumbai. no meaning of lockdown. what is pOLICE doing ? @MumbaiPolice @CPMumbaiPolice @OfficeofUT,[]
128,clinicalindian,Just an odd Indian with voice to speak about everything wrong happening around..,"Pune, India",192,25,2388,0,"#VaccineRegistration #VaccinateIndia 
Just looking for covaxin in private hospital in Pune and found that price is 1200 when producer is giving to private at 600..
Cant state put a cap on the price???
@OfficeofUT @AjitPawarSpeaks @IAS_Rubal @SidShirole @mohol_murlidhar","['VaccineRegistration', 'VaccinateIndia']"
129,NamrataBhise,,,60,121,366,65,"#muhsonline
This is the condition of hostels.
@AmitV_Deshmukh 

@DrAmolDeshmukh @amirshaikh_INC @AUThackeray @OfficeofUT @DrRPNishank @SonuSood @dhruv_rathee https://t.co/s9CVyLl39k",['muhsonline']
130,motaa_bhaii,"2nd A/c | 1st A/c of 12 yrs suspended by Islamists/Communists of Twitter who took longer than expected 🙂
NITRkl/IITKgp
No Religion, Party, Leader above India!",सारे जहां से अच्छा। India,70,118,729,0,@ek_aalu_bonda @OfficeofUT @priyankac19 SS leaders have picked up the good habits from Muslims after forming this alliance.,[]
131,BandanaMrs,"FORMER  RADIO & TV ARTIST. BOOK LOVERS &MUSIC EXPERT,SOCIAL WELFARE  *HAVING  858 .3K VIEWERS,1431 ANSWERS 218  QUESTIONS IN https://t.co/BdfG0XWCJR  121Followers.324 Shares.","KOLKATA ,West Bengal .INDIA .",386,155,37427,0,@Mumbaikhabar9 @mipaltan @mybmc @OfficeofUT @PIBMumbai @ChairmanIba @RBIsays @nsitharaman @DasShaktikanta @FinMinIndia @FinancialXpress @ArunSFan CITIZEN URGING CHEAP LOAN FACILITY TO OVERCOME #LOCKDOWN SITUATION &amp; #Covid_19 CRISIS PERIOD @BJP4Maharashtra @BJP4MUMBAI https://t.co/V9X5vVOGB5,"['LOCKDOWN', 'Covid_19']"
132,deepak_singh_28,Independent Pattalkaar; Fact Checker; Librandoos; Will Follow toolkit if paid well; Wanna be Luyten’s Pattalkaar gang member;,,308,481,141184,1,"@deepak_singh_28 @narendramodi @AmitShahOffice @AmitShah @myogioffice @myogiadityanath @OfficeofUT @RanaAyyub I just want Central Government to Check her Claims

Coz Direct Transfer to Bank Account schemes is the crowning Gem of Modi Governments Achievement

So, either Rana Ayuub is Lying or Bank officers are incompetent or Middlemen have found a loop hole

I believe She is Lying",[]
133,rochlani_sanjay, “धर्मो रक्षति रक्षितः”,,938,1364,41970,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
134,ShRuttiK,Buddha and Bodhisattva Babasaheb. Listening to Music in my Dream with my friends having Coffee Sitting front of the Sea. The Lion love MSD & SRK,Scorpio ,133,151,1525,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
135,sssaaagar,#Oilfield #DeepWater #DrillingFluids Watches only Cycling and WRC in sports. Clicks ok ok pics of beautiful birds and other wild things. Proud BJP member.,Mumbai ,346,1122,67909,11,"@DMHospitalPune  #COVID19Vaccination centre at BSM school, Mayur colony, Pune.   
Second phase:
31.5.21. 10 am.
11000 = Total vaccinations in 6 days +1hour.
&gt;1000 = Total charity doses in 6days + 1 hour. Equivalent of &gt; Rs. 900,000. 

@mangeshkarlata @CMOMaharashtra @OfficeofUT",['COVID19Vaccination']
136,adityagiri_901,"Aim of life - IPS officer
Destination of life - SVPNAP
Lifeline💗आई 💗❤️ बाबा ❤️","Akola, India",15,6,1101,5,"@dinesh_sir @AdvMamtaSharma @anubha1812 Hope that decision comes sooner,
Aa day are passing pressure on students is also increasing , #cancelboardexam2021 #modijisave12thstudents #uddhavjinoofflineexams #InternalAssessment @DrRPNishank @cbseindia29 @narendramodi @OfficeofUT @VarshaEGaikwad",[]
137,Nedunjezhiyan2,I respect Sathguruji.,,649,263,11413,0,@garimakataria @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks 100 percent right.,[]
138,Nedunjezhiyan2,I respect Sathguruji.,,649,263,11413,9,"Dear #UddhavThackeray if we've shut our businesses for this long, govt can too shut our light bills, emis, rents, school fees etc. Cause we're all together in this 
#maharashtralockdown @CMOMaharashtra @OfficeofUT @AUThackeray @supriya_sule @AjitPawarSpeaks #Relief",['UddhavThackeray']
139,nishtunishaa,"#Computerteacher,#Yogainstructor(#unhealthypeople), Instagram id - nishunishaa, #Photographer.  #nishthayoga Love myself 
https://t.co/lCEYoPFPEK","Mumbai, India",799,4772,51474,0,@sachinrbjp3555 @OfficeofUT @Dev_Fadnavis @jitengajaria @keshavupadhye @Madhavbhandari_ @PravinAlai @DoctorAnilBonde @BabanraoLonikar @LakhobaLokhande @swanandgangal @samirgurav @TheRSS_Piyussh @priyaapradip Uddhav Thackeray must commit suicide for ruining balasaheb Thackeray name and for giving birth to a murderer and druggy,[]
